x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
A,C,C,B,A,B,1.4,4.28,3.71,3.06,0.33,0.72,1.03,-1.33
C,A,C,B,B,B,0.62,0.08,,0.22,0.08,-2.87,1.75,1.39
B,C,B,B,A,B,0.5,-0.04,3.47,2.21,4.96,0.34,1.97,1.2
A,C,D,B,A,A,2.15,0.92,2.3,1.94,0.27,0.86,0.47,-1.74
A,C,B,B,A,B,0.45,-0.01,,3.22,4.74,-1.51,2.45,1.86
,C,B,B,A,B,1.44,-0.04,,0.8,-0.03,-0.68,0.41,-1.58
,A,B,B,A,A,-2.16,0.06,,0.42,1.59,0.41,1.16,0.03
B,B,C,B,B,B,1.14,0.0,-0.54,0.11,-0.19,1.38,0.18,0.85
B,B,B,A,B,A,-1.64,0.38,1.11,0.0,9.55,2.51,4.2,-0.16
C,C,D,B,B,A,1.6,6.58,1.23,0.09,1.57,0.24,0.78,-0.75
A,C,C,B,A,A,0.38,-0.01,1.51,,6.16,0.08,2.92,-0.4
B,C,B,B,A,B,1.68,-0.11,,,-0.24,0.07,0.86,-1.79
C,B,C,B,B,B,0.85,3.66,3.17,0.35,8.29,1.16,1.72,-1.83
C,B,C,B,A,B,2.31,0.54,3.18,1.89,1.09,-1.06,1.06,1.53
B,B,C,B,A,A,1.02,-0.0,2.92,0.0,-0.22,1.33,1.44,-0.38
C,A,B,B,A,B,1.79,0.07,,,0.52,2.0,1.53,-0.02
B,A,B,B,A,B,-0.06,0.0,3.47,,-0.23,0.47,0.16,1.94
B,B,C,B,B,A,1.56,0.0,0.88,0.23,-0.22,-1.37,1.36,1.31
B,C,B,B,A,B,1.42,-0.04,1.88,0.02,-0.06,-3.61,0.48,0.54
C,A,B,B,A,A,1.0,-0.03,,0.01,6.84,0.57,0.16,0.77
,C,A,B,B,B,0.5,-1.03,,2.64,3.39,1.74,0.35,-2.4
B,B,C,B,A,A,0.92,2.52,5.17,0.3,8.79,1.16,1.81,-1.75
A,B,C,B,A,B,2.58,0.42,0.88,,0.63,-1.48,0.02,-0.94
,C,B,B,A,A,-0.38,-0.22,0.37,0.0,1.76,-2.27,2.74,2.5
B,A,C,B,A,A,-0.85,0.28,,0.61,5.92,2.77,0.8,-1.0
C,C,B,B,A,A,-2.48,0.01,,0.35,0.49,-1.18,0.94,1.9
A,C,B,B,B,B,1.9,0.06,-1.15,0.01,3.32,-1.03,0.79,-0.2
,B,A,B,A,B,0.91,-0.6,0.68,0.49,1.05,0.51,1.56,6.21
B,A,C,A,B,A,1.29,0.23,-1.51,2.35,-0.23,0.31,0.82,-2.12
C,B,C,A,B,B,2.73,4.58,,1.59,-0.05,1.71,0.44,-2.32
B,B,C,B,A,A,-0.09,-0.08,,,1.86,2.42,0.84,0.52
C,B,A,A,A,A,2.58,0.38,0.61,0.0,4.25,2.04,1.07,0.72
A,C,A,B,A,B,0.55,0.0,1.24,1.12,-0.25,-1.57,1.04,-2.25
C,B,C,A,B,B,1.26,-0.02,1.09,0.83,0.28,1.99,1.62,0.36
C,C,A,B,A,B,1.48,0.46,,,0.08,-0.58,0.04,1.78
C,A,A,B,A,A,2.56,1.34,,2.24,0.25,-1.63,0.41,-0.43
C,A,C,B,B,A,-1.16,0.9,0.62,0.89,1.31,0.29,0.91,0.39
B,B,C,B,B,A,3.02,0.18,0.3,,0.13,-0.62,1.06,-1.04
C,A,D,B,B,B,0.28,0.04,,0.21,-0.2,-1.23,1.14,1.04
A,C,B,A,A,A,2.76,0.01,,0.0,0.79,2.47,0.84,-0.39
B,C,C,B,A,B,-1.21,0.0,,1.34,1.92,-1.15,3.38,3.07
A,C,B,B,A,B,0.41,-0.0,,1.97,-0.14,-2.32,0.46,1.81
C,A,B,A,A,B,-0.19,-0.35,,1.43,0.51,0.62,0.52,1.79
A,B,C,B,A,B,1.18,1.17,0.08,0.17,0.45,-0.71,0.18,-2.45
,A,C,B,A,B,0.8,-0.0,3.71,,0.37,0.14,1.47,-0.71
C,B,B,B,B,A,0.16,0.7,-1.49,5.41,0.07,-0.75,1.98,-1.91
B,C,D,A,A,A,-0.53,-0.03,,0.15,-0.08,1.37,0.86,0.45
A,C,C,B,A,B,2.86,1.1,,0.0,5.25,-0.92,0.84,-1.76
A,C,B,B,A,A,-0.05,-0.02,,0.02,-0.24,-2.81,0.28,0.21
A,C,A,B,B,B,-0.67,-0.0,,,-0.07,1.51,2.06,1.34
A,B,D,B,A,B,2.56,0.43,1.64,0.46,-0.25,-0.88,0.74,-0.92
B,C,C,A,B,A,1.31,-0.13,1.39,0.51,1.21,2.3,0.14,0.14
B,B,B,B,A,A,-0.59,-0.01,1.87,0.0,0.16,1.29,0.32,-1.02
A,B,B,B,B,B,0.51,0.01,-0.49,0.02,8.36,-1.31,0.26,-2.82
B,C,C,A,A,A,0.18,0.13,,2.03,-0.0,3.54,2.46,-1.72
A,C,C,B,B,B,1.31,-0.06,0.53,0.03,-0.1,-0.39,0.28,0.28
C,B,C,B,A,B,1.16,0.21,,4.04,5.35,-0.32,1.52,2.54
A,C,B,A,A,B,0.9,0.19,-0.41,,0.68,-1.84,0.16,-1.68
A,A,C,A,A,B,1.38,0.62,,5.54,-0.25,0.48,1.55,-0.9
B,C,C,B,A,B,0.34,2.67,,2.58,0.44,-0.87,1.19,-0.44
B,A,C,B,A,B,-2.72,-1.28,-1.32,0.0,-0.24,-0.25,0.3,-0.1
A,A,B,A,A,B,3.18,-0.11,0.81,0.74,5.43,-0.44,2.32,0.03
B,B,B,B,A,B,0.39,0.14,1.49,0.49,0.29,0.91,0.85,0.07
C,A,D,B,A,B,1.87,0.53,1.77,3.0,7.42,-1.07,1.66,2.76
B,A,C,B,B,B,1.52,2.04,-2.17,0.0,-0.25,-1.68,0.02,0.12
A,A,C,B,A,B,3.85,2.96,-0.3,,4.01,-0.8,0.22,-2.26
B,C,B,,A,B,0.66,0.22,0.76,,3.87,0.52,1.7,-1.83
B,C,D,A,A,B,0.88,0.27,,0.26,0.88,-1.41,1.01,-1.79
A,B,B,B,A,B,0.9,0.77,-0.93,4.56,2.42,1.25,0.75,0.42
C,B,C,B,A,A,-0.35,0.01,,2.55,0.5,0.18,2.67,0.75
C,C,D,B,A,A,2.78,0.29,2.7,0.99,-0.13,-0.94,1.13,0.16
A,C,B,B,A,B,0.87,-0.0,0.11,0.98,0.66,1.98,0.77,-0.05
C,C,C,B,B,B,-0.72,-0.4,-0.5,,-0.02,-1.66,0.91,3.03
,B,B,A,B,A,0.95,-0.0,7.3,6.81,0.59,0.93,0.08,-0.2
C,A,B,A,A,A,2.2,0.08,-0.89,1.62,-0.13,-0.18,1.64,0.16
B,A,D,B,A,A,-1.17,0.0,3.85,0.45,5.96,1.32,2.35,0.38
C,B,B,B,B,B,1.82,0.04,,7.16,0.53,0.34,0.4,0.64
C,B,A,A,A,A,-0.27,0.07,1.51,4.97,1.35,3.54,0.62,-1.96
A,C,A,B,A,B,0.62,0.01,,1.63,1.19,0.09,0.72,-2.19
A,C,C,B,B,B,0.71,0.05,,0.31,-0.13,-0.5,1.82,0.11
,C,C,B,A,B,0.11,0.12,8.19,0.0,0.03,-1.04,1.13,1.1
A,B,C,B,A,A,-1.63,0.0,,2.63,4.04,1.41,1.16,0.86
A,B,C,B,A,B,1.27,-0.0,,0.32,0.15,-2.82,0.93,-0.95
A,C,B,B,A,B,1.15,-0.0,,,0.35,2.81,0.86,0.8
B,C,C,B,A,A,0.12,-0.08,,,-0.2,1.36,0.79,-0.45
C,C,A,A,A,B,1.35,-0.0,,0.74,1.6,0.27,0.65,0.22
,B,B,A,A,B,5.05,0.04,1.74,1.38,1.32,-3.24,1.51,-0.74
B,A,C,B,A,B,-1.24,-0.58,0.09,0.54,-0.08,-0.57,0.85,2.71
A,C,C,B,A,B,1.83,-0.23,,,1.77,-1.14,1.25,1.65
A,A,C,B,A,B,1.12,0.25,,0.17,0.91,0.38,0.61,-4.4
B,C,A,B,A,A,0.24,-0.92,1.86,1.02,-0.18,-0.13,2.21,2.64
C,C,D,B,A,B,-1.29,0.09,-1.99,,3.73,-2.67,1.89,2.78
B,A,C,B,A,B,0.44,5.67,0.3,6.41,1.41,-1.21,1.95,-0.39
C,C,A,A,A,A,2.54,0.58,,0.11,0.15,-0.07,2.94,-0.34
C,C,C,,B,A,0.35,-0.22,0.99,,0.01,0.18,0.01,2.63
C,A,C,A,A,A,1.18,0.0,,,0.4,-0.06,0.3,-0.36
A,C,A,B,A,B,1.02,-0.0,,0.12,-0.07,-2.18,0.37,-0.64
A,A,B,B,A,B,1.15,-0.02,1.63,,1.41,2.13,1.55,-2.03
C,A,C,B,B,B,1.15,-0.07,,0.19,0.14,-0.24,0.27,0.21
A,C,C,B,A,B,-0.18,-0.04,0.64,0.0,0.61,-1.14,0.82,-0.88
C,A,D,A,B,B,-0.44,-0.25,,0.64,2.25,0.45,0.76,1.08
C,C,A,B,A,A,0.37,0.06,1.14,0.16,7.82,0.49,3.23,1.98
C,B,C,B,A,A,-0.4,-0.07,0.25,0.96,2.96,0.5,1.61,0.04
C,A,B,B,B,B,2.59,2.7,1.42,0.23,0.42,-0.67,0.44,0.75
B,B,A,B,A,B,1.45,0.29,,0.65,-0.22,-0.97,0.81,0.36
A,B,B,B,B,B,-0.14,-0.02,0.51,0.09,1.38,0.09,2.04,2.26
,B,C,B,B,A,-1.25,-0.14,-0.83,2.59,2.21,0.63,0.58,0.79
A,C,C,B,A,A,-0.03,0.22,0.88,3.1,0.39,1.45,2.15,-2.46
C,B,C,B,A,A,0.57,-0.01,,4.02,0.46,-1.79,0.35,0.76
,B,C,B,A,A,1.87,0.28,2.6,0.06,0.38,-0.24,2.07,-1.29
C,A,B,B,A,B,1.8,0.74,,0.01,0.36,-2.06,1.39,1.34
,C,D,B,A,A,-0.36,0.0,0.28,0.12,-0.15,0.28,0.77,-0.96
C,B,D,B,A,A,0.2,2.69,,,12.48,2.69,1.02,1.16
B,C,C,A,A,B,1.24,-1.85,1.31,0.11,2.47,-1.63,0.4,1.57
,C,B,B,B,B,1.5,0.01,3.83,0.0,-0.1,-0.07,2.17,-0.22
B,B,C,B,A,A,1.36,0.07,,0.74,5.44,-1.55,0.94,0.26
A,C,C,B,A,A,0.13,0.11,-1.12,2.43,0.64,-0.97,0.71,1.02
A,A,C,B,A,A,0.63,0.34,1.22,4.72,0.7,1.51,0.55,-1.19
C,C,C,B,A,B,0.32,0.04,,2.12,-0.18,-0.01,0.41,2.16
C,C,B,B,A,A,-0.6,2.24,0.33,,-0.18,0.1,0.07,-0.17
B,C,C,B,A,B,3.75,0.31,,,0.25,-0.24,1.64,0.21
,B,C,B,A,A,1.07,-0.06,-0.18,0.99,1.94,-0.4,0.97,0.4
A,C,C,B,A,B,1.42,0.65,,1.29,1.39,-0.95,0.02,-2.18
A,C,A,B,A,B,-0.46,-0.14,-0.06,0.38,2.09,1.07,0.84,-1.07
B,B,B,B,A,B,1.09,-0.24,0.58,,0.14,0.32,0.3,2.08
A,C,A,B,B,B,1.75,3.69,,0.14,1.47,1.84,3.01,-1.64
B,B,A,B,B,B,1.87,0.23,0.21,0.95,-0.13,-1.02,1.89,1.39
C,B,B,A,A,B,2.28,0.03,-1.43,2.46,1.91,-1.39,2.15,-0.84
A,B,B,B,A,B,0.91,-0.13,-2.51,0.22,0.23,-0.85,1.29,0.36
C,B,B,B,A,A,1.62,-0.06,4.79,3.25,5.15,0.58,1.94,7.1
C,C,A,A,A,B,1.72,-0.0,-0.56,0.55,-0.1,-0.1,1.45,-0.1
B,C,B,A,A,A,1.34,-0.01,-0.35,0.22,1.32,-0.38,0.42,1.54
,A,D,A,B,B,1.32,-0.16,5.73,0.49,4.41,0.93,0.59,1.31
C,C,B,B,B,A,3.45,0.05,2.17,3.33,-0.13,0.4,1.93,-2.52
C,A,B,B,A,A,2.71,2.47,,,2.82,1.3,0.12,-0.47
C,B,D,A,A,A,0.56,1.1,-0.47,0.23,0.89,1.28,1.96,-0.11
,B,C,B,A,B,1.36,-0.01,-1.07,0.6,-0.21,0.52,0.25,-1.8
,B,B,B,A,B,-0.84,-0.35,7.51,0.89,2.47,0.71,0.75,-1.39
A,B,B,B,A,A,2.68,-0.0,1.01,0.9,0.03,0.92,1.0,-1.42
,B,A,B,A,A,2.0,2.28,1.47,0.17,10.3,-0.08,0.09,-0.44
A,C,B,B,A,B,-0.7,-0.12,-0.28,0.16,5.53,0.11,1.85,-1.03
A,C,B,A,A,B,0.25,-0.4,-0.74,2.88,0.56,-0.09,0.65,2.48
B,B,A,B,B,B,-0.1,-1.04,0.19,0.01,0.09,0.28,0.93,-2.29
B,B,D,A,B,B,3.38,0.21,1.64,,-0.11,-1.14,2.18,-1.23
,B,A,B,B,B,0.57,0.52,0.17,0.03,-0.09,0.17,0.66,0.6
,A,B,A,A,A,-0.54,0.02,0.32,0.17,0.64,-1.88,0.99,2.1
C,C,C,B,A,A,0.32,0.0,,,-0.2,1.2,0.11,1.8
A,C,C,A,A,A,-1.14,-0.04,,1.42,0.79,1.64,1.39,-0.92
B,C,B,B,A,B,-1.88,0.07,-1.0,,0.0,1.79,0.86,-0.1
B,B,B,B,B,B,1.3,0.69,,0.09,0.33,-1.33,0.94,0.52
C,B,C,B,B,A,-0.16,0.0,2.0,1.84,1.82,0.44,2.67,1.07
B,A,B,B,A,B,2.79,0.74,,1.13,1.52,0.07,0.4,0.32
A,B,C,B,A,B,0.84,0.03,,,0.41,-0.07,1.04,-2.85
A,C,B,B,B,B,0.2,-0.0,-0.17,,0.2,-0.32,1.23,1.23
A,B,B,A,B,A,1.63,-0.21,1.03,,0.54,3.4,3.49,0.07
C,C,B,A,A,B,1.7,4.39,0.55,5.83,3.09,0.07,1.09,2.29
,B,B,B,A,A,1.21,0.22,0.41,0.03,2.33,0.01,1.59,-0.83
A,B,C,B,A,B,0.75,-0.05,,0.07,7.94,-0.4,3.07,-0.12
C,A,A,A,A,B,3.66,-0.03,1.34,0.0,1.07,-1.22,0.4,0.94
A,B,D,A,A,A,0.09,-0.01,1.55,1.35,0.56,0.19,2.77,-1.12
,B,C,B,A,B,1.07,0.54,-0.47,0.19,-0.25,-0.0,0.91,-1.01
A,C,A,A,A,B,1.24,0.22,1.98,0.63,-0.21,-2.18,0.08,-1.83
C,C,D,B,A,A,4.96,-0.12,-1.4,0.01,0.08,-0.17,1.0,0.5
C,B,A,B,A,A,-1.0,-0.47,,5.89,1.61,3.07,1.54,-0.03
C,C,A,A,B,A,0.2,0.01,0.81,3.75,-0.1,3.96,2.25,-1.89
,B,D,A,B,A,0.16,0.7,-1.76,0.0,8.03,5.47,2.35,-0.66
A,C,C,B,A,A,1.47,0.02,,4.94,10.87,2.01,1.21,-0.74
C,C,C,B,B,B,0.2,-0.41,,1.44,-0.19,1.25,2.79,1.89
,A,B,B,B,B,0.79,-0.03,,,0.66,-0.88,0.72,-2.72
B,C,C,A,B,A,1.52,-0.0,,0.38,-0.14,0.17,1.77,1.85
C,B,C,A,A,B,2.86,0.22,-1.57,0.13,-0.18,-0.18,1.7,1.89
,C,B,B,B,A,1.57,0.0,,0.0,5.12,1.09,2.23,-0.78
,C,A,B,A,B,1.73,1.19,1.07,1.59,0.29,0.21,0.94,-1.41
B,B,C,B,A,A,-1.13,-0.01,,,-0.25,0.25,1.07,0.59
A,B,C,A,B,B,0.96,-0.0,-0.91,1.18,0.99,0.5,1.3,2.09
C,B,C,B,B,B,-0.77,-0.02,1.45,0.01,-0.2,2.93,0.32,2.0
C,C,A,B,A,B,2.77,1.44,2.88,1.02,6.75,-0.96,1.86,2.8
,C,B,B,A,A,-0.44,0.04,0.36,0.19,-0.07,1.94,1.3,-2.46
B,C,C,A,A,A,-0.79,-0.21,2.57,0.82,0.14,0.84,0.16,0.09
B,B,C,B,B,A,0.18,-0.0,,0.39,3.57,-0.66,2.75,0.34
A,A,B,B,A,B,1.96,0.07,-0.08,,5.95,0.38,1.72,-1.6
B,A,C,B,B,B,2.22,0.2,-0.66,0.02,0.37,-0.46,1.71,0.1
C,A,B,B,A,B,2.0,0.01,,,-0.1,-0.31,1.18,2.1
B,C,B,A,A,A,-2.02,-0.07,0.24,0.0,-0.09,1.85,0.77,-0.23
C,C,B,B,A,B,1.92,1.23,,2.54,4.85,-0.83,1.23,1.31
A,A,B,B,A,B,0.93,1.8,-2.36,0.0,0.02,1.05,0.18,-2.51
B,C,B,B,B,B,1.22,0.0,,0.17,0.29,-2.8,1.21,-0.3
,C,D,B,A,A,-0.72,0.6,0.14,0.35,0.11,-1.2,1.52,-2.26
,A,C,B,B,B,-0.32,7.81,0.26,,1.85,2.15,0.9,-2.37
B,C,A,A,B,B,-0.07,-3.56,1.29,0.03,0.83,-0.5,4.05,0.7
A,B,B,B,B,A,0.86,0.68,-4.16,0.04,0.05,0.4,0.08,-0.66
C,A,C,A,A,A,1.14,-0.0,,7.69,-0.13,1.46,0.99,-0.89
C,B,A,A,A,A,0.57,-0.03,1.48,0.25,0.11,0.45,1.32,-1.21
A,A,D,B,A,B,-0.56,-0.07,1.52,2.02,0.08,0.25,1.32,3.02
A,C,C,A,B,B,0.96,-0.3,,0.47,1.02,-2.77,2.4,4.69
A,B,A,B,B,A,1.69,0.41,,4.9,2.7,-0.44,2.45,-1.23
A,C,A,B,A,B,1.43,0.49,0.57,0.5,9.64,2.87,2.38,-0.42
B,A,C,A,A,A,1.04,0.0,7.25,1.9,-0.21,1.74,0.12,-0.03
,B,B,A,A,A,0.89,-0.0,,0.64,1.43,1.97,1.78,-0.99
B,C,C,B,A,A,1.05,2.66,-1.99,1.04,-0.19,-0.5,1.54,-2.71
C,A,D,B,B,B,1.48,-0.01,-0.7,1.96,0.12,-1.98,0.89,1.86
C,B,D,A,B,B,3.32,0.34,,2.08,2.75,-0.36,1.92,-0.36
B,C,C,B,A,B,2.09,0.77,,,-0.21,-0.82,1.69,-1.92
C,C,A,B,B,A,-0.59,0.04,-1.35,0.08,0.17,-0.86,0.61,6.0
A,A,A,B,A,B,0.81,0.31,,,2.33,-1.41,1.4,-1.96
A,C,B,B,B,B,1.2,0.02,,,0.38,-2.49,1.67,1.06
A,B,B,B,A,B,0.4,-0.0,2.77,4.48,0.78,-0.97,0.69,0.14
B,C,D,B,A,A,0.07,0.01,0.19,,1.48,-0.76,1.48,0.97
B,B,C,A,A,A,-0.56,-0.02,-1.72,0.14,0.23,2.11,0.05,-1.9
A,C,B,B,B,B,2.26,6.96,,0.78,0.59,1.63,0.36,-2.48
C,B,A,A,B,B,2.52,-0.0,0.6,,-0.19,-1.32,0.3,-0.79
C,A,B,B,A,B,2.92,2.41,,0.56,-0.02,-1.51,1.77,-2.97
C,C,A,B,B,B,1.94,1.75,1.32,,1.8,-2.02,1.21,2.96
C,A,B,B,A,B,-0.02,-0.15,1.46,,4.16,0.91,1.36,1.32
,B,C,A,A,B,1.37,0.03,1.82,0.75,0.58,-0.49,0.38,-0.68
A,B,C,B,A,B,2.14,1.78,,0.0,3.2,-2.83,0.03,-1.93
,A,B,B,A,B,2.36,1.19,,,0.31,-2.47,0.79,0.42
A,A,C,B,A,A,0.98,0.68,1.01,0.3,-0.0,-1.91,1.27,-2.58
B,B,C,A,A,B,1.24,0.04,1.5,0.01,0.97,-2.52,1.76,1.57
A,A,B,B,A,A,-0.09,0.99,0.48,0.66,0.84,-0.15,0.27,-1.88
,C,B,A,B,B,0.58,-0.03,1.31,0.0,0.35,-1.57,3.66,-0.66
A,B,C,B,B,B,2.24,0.88,0.15,0.13,0.89,-1.23,1.79,0.82
C,C,C,B,B,B,-0.29,0.02,0.15,5.5,0.29,-0.62,1.58,1.97
,C,B,B,B,B,1.5,3.3,,0.67,-0.18,0.03,0.38,0.17
A,C,C,B,A,B,0.63,-0.76,,,0.07,-0.6,2.67,-0.54
A,B,B,A,A,B,1.89,-0.0,,,0.98,0.24,0.69,0.12
B,B,B,B,B,A,-2.79,-0.0,,0.59,0.59,1.12,2.92,-0.05
A,C,C,B,B,A,-1.29,-0.27,-0.83,,0.29,0.45,1.55,1.17
A,B,C,A,A,B,0.51,0.0,1.6,0.2,1.35,-0.08,1.42,-3.11
A,C,B,B,A,A,0.46,0.39,,0.0,0.88,-0.1,1.55,-1.56
A,A,C,B,A,B,1.81,-0.48,,,0.29,-0.48,0.93,0.8
A,A,C,B,B,B,2.53,0.14,,0.01,6.34,-0.21,1.76,0.61
C,A,D,A,A,A,2.18,0.05,-0.2,0.43,-0.01,-0.44,1.4,-1.71
C,A,C,B,A,A,-0.05,0.0,0.61,0.37,2.52,0.14,1.19,0.69
C,C,B,A,A,A,-0.12,3.37,1.9,3.65,1.73,-1.43,0.25,-0.89
A,B,C,B,A,A,0.78,-0.51,-1.6,,1.28,0.34,0.47,1.13
A,C,B,A,A,B,2.2,0.0,2.94,,0.06,-0.89,0.77,-2.94
A,C,C,B,A,A,2.04,0.91,0.38,0.31,6.49,-1.51,1.02,-0.36
C,C,B,A,B,A,1.6,0.02,-2.02,,0.37,1.74,0.79,-0.42
C,C,D,A,A,B,1.64,-0.0,-0.68,,0.31,-0.72,2.04,0.47
B,B,B,B,A,A,-0.55,0.37,1.3,0.52,0.22,0.6,0.88,-0.48
A,A,C,A,A,B,1.33,-0.01,,1.17,2.88,-0.41,0.78,2.5
A,B,B,,B,B,2.08,0.11,2.02,0.11,-0.07,1.29,1.65,-1.45
A,C,B,B,A,B,0.97,-0.0,-0.6,4.28,-0.25,1.86,0.27,-1.03
C,C,A,B,A,A,-0.04,0.0,0.17,2.0,2.8,-0.69,2.04,1.76
B,B,C,B,A,A,-0.16,0.04,0.57,0.02,0.28,-0.85,1.56,-0.38
C,C,C,A,A,B,1.11,1.57,1.0,,1.29,1.03,1.17,-0.48
,C,A,B,B,B,0.0,0.04,,1.26,-0.04,-0.3,0.81,-0.05
A,B,D,B,A,B,2.55,0.0,,3.02,0.13,2.1,1.78,-0.79
C,B,A,B,B,A,-1.12,-0.0,1.1,1.95,0.4,4.77,1.32,0.13
A,A,C,B,B,A,-2.15,-0.02,0.03,0.55,-0.1,3.49,1.16,-2.16
B,B,C,A,A,A,1.64,-0.11,0.05,,-0.24,-0.16,0.83,-1.56
B,C,B,B,B,B,-1.07,-0.0,2.71,0.03,-0.19,-1.09,2.11,0.06
,C,B,A,A,B,1.93,0.27,3.9,0.28,0.06,2.08,0.75,-2.27
B,A,C,B,B,A,0.73,6.16,,,0.34,1.58,0.13,-3.52
C,B,B,B,B,A,0.57,0.0,0.51,0.02,0.73,1.46,1.11,-0.07
C,A,C,B,B,A,-0.63,0.02,,0.07,0.25,0.65,2.66,-1.44
C,A,B,B,A,B,2.7,0.75,2.66,1.96,1.44,1.13,0.48,0.09
B,B,C,B,B,A,-1.14,-0.01,,3.5,0.01,0.72,0.76,-0.7
B,A,D,A,B,B,0.34,-0.11,0.1,0.33,7.48,-0.96,0.67,1.52
C,A,D,A,A,A,2.0,0.21,0.33,0.82,0.97,3.13,0.71,-1.58
A,C,C,B,A,B,1.76,1.99,2.58,3.82,0.94,0.68,0.16,-1.88
B,C,C,B,B,B,2.85,0.5,0.26,0.4,-0.22,-1.28,0.55,-0.17
B,C,A,A,B,B,2.36,0.05,,3.17,-0.19,-1.03,1.3,-0.58
B,C,C,B,A,B,1.49,0.39,4.31,,7.0,0.16,0.4,-3.32
B,C,B,B,A,B,0.66,0.2,,,0.85,0.41,0.14,0.79
,C,B,B,A,B,1.08,2.12,0.47,0.37,2.71,-2.73,0.54,0.36
A,C,D,B,B,B,2.12,2.03,,,-0.22,0.18,1.28,-1.93
A,C,B,A,B,B,0.05,3.96,1.01,0.85,0.25,-0.93,2.02,0.05
B,C,B,A,B,A,3.14,-1.07,0.87,0.0,0.35,0.17,3.3,1.39
C,C,A,A,B,A,-0.36,-0.15,0.16,0.25,-0.21,3.08,3.18,3.31
B,A,B,B,B,A,0.57,0.06,-0.12,0.61,-0.07,2.05,2.16,0.33
C,C,D,B,A,A,-0.04,-0.0,1.29,,0.55,0.82,0.79,6.65
B,C,B,A,B,A,-0.56,0.0,,1.37,0.51,0.43,2.38,-3.52
C,C,D,B,B,A,1.26,1.31,-0.13,1.19,1.15,0.41,0.32,1.6
,A,C,B,B,A,1.16,-0.0,-1.76,0.05,1.57,-0.76,1.69,1.65
C,B,B,B,B,A,-0.66,0.19,,1.59,0.06,1.38,0.62,1.49
,B,B,A,B,B,-1.08,-0.63,,0.2,1.18,1.97,0.51,-0.84
A,C,D,B,A,B,0.54,4.39,,,3.92,-3.54,1.38,-0.5
B,A,A,B,B,B,0.81,-0.12,,2.32,0.08,0.12,0.75,1.07
C,C,B,A,A,A,1.3,0.0,2.35,,2.69,-1.67,0.06,-0.85
,A,A,B,A,B,-0.29,-1.0,3.89,0.57,-0.25,-1.75,2.31,-2.25
,B,B,A,A,A,1.07,1.42,0.6,0.16,0.05,0.02,0.29,-1.22
C,A,B,B,A,A,0.74,0.38,,0.0,2.1,0.76,1.6,-2.19
A,A,B,,B,B,-0.57,0.0,7.48,0.23,0.13,-0.95,3.24,2.83
C,B,C,B,A,A,2.03,0.54,,1.86,10.34,0.11,0.35,0.54
A,C,D,A,B,B,1.48,-0.0,-2.31,,3.44,-2.13,1.39,5.66
,C,C,A,B,A,3.39,0.04,-1.79,0.7,0.88,1.27,0.51,-1.21
B,A,B,B,A,B,0.83,0.74,,,2.29,-0.28,0.97,-0.2
C,C,B,B,A,A,-1.12,1.25,-0.49,0.5,8.78,-0.23,0.24,1.17
A,B,C,B,A,A,1.97,0.0,1.96,,0.88,0.7,0.15,0.27
C,B,D,B,A,B,0.49,0.0,,0.9,0.99,2.3,2.71,1.68
C,B,A,B,B,A,0.37,0.01,-1.39,0.56,0.82,-0.5,1.26,3.92
,C,C,A,B,B,1.36,0.01,0.67,0.01,0.28,-1.54,1.23,-0.97
C,A,C,A,A,B,3.48,0.03,,1.53,-0.09,-1.12,0.31,-0.32
B,C,C,A,B,B,5.19,-0.0,0.59,4.75,0.82,2.06,0.4,0.78
C,C,B,B,B,A,-0.82,0.0,,,-0.25,1.81,1.28,-0.59
,A,B,B,B,B,1.35,1.03,0.95,2.8,-0.25,-1.11,0.04,1.12
A,B,B,B,A,A,-0.64,0.0,,1.35,-0.04,-0.13,0.52,-1.36
C,B,C,,A,B,2.46,0.44,,0.99,2.63,-0.42,1.44,1.03
C,A,B,B,B,B,-0.22,-0.0,1.13,0.17,-0.24,0.58,3.0,3.87
C,A,C,B,A,A,1.47,0.57,,0.06,2.23,1.38,3.06,0.65
C,C,A,B,B,B,3.09,0.02,-1.72,0.02,8.24,-1.17,1.53,2.37
A,C,B,B,A,B,-0.34,-0.79,1.54,0.04,18.47,-0.58,4.25,1.86
C,C,C,B,A,A,1.38,2.62,-1.52,1.37,2.92,-0.66,1.1,-0.92
A,C,C,B,B,B,0.27,1.45,,1.72,-0.04,1.38,2.59,-0.29
A,A,C,A,A,B,4.95,1.76,-0.21,,2.44,-0.83,0.44,-2.4
A,A,B,B,A,B,2.63,0.0,2.08,0.46,1.56,-1.27,0.91,0.21
,B,A,B,B,A,1.13,-0.44,,1.24,-0.21,0.32,1.8,1.2
B,B,C,B,B,A,-0.3,4.15,-0.17,0.25,4.31,-0.07,3.67,0.68
,B,C,B,B,B,1.34,0.52,0.34,0.14,1.14,-0.8,1.64,3.09
,C,B,B,A,A,0.7,-0.0,2.66,,0.84,2.3,0.06,-1.28
C,C,A,B,B,B,2.69,-0.01,0.49,4.63,-0.22,-1.33,3.24,0.42
B,B,D,B,A,A,0.95,0.09,-2.29,0.03,3.72,2.18,0.24,0.14
B,C,C,B,B,B,-0.86,0.0,,1.61,-0.11,-2.57,0.26,-0.1
C,B,B,B,A,A,-0.47,2.53,1.4,0.05,8.61,0.08,0.12,0.47
